MGI:MGI:2686379	Frmd7
MGI:MGI:1341908	Uhmk1
MGI:MGI:2444989	Spg11
MGI:MGI:104572	Limk1
MGI:MGI:101931	Slc1a2
MGI:MGI:2137586	Dtnbp1
MGI:MGI:1334445	Cpne6
MGI:MGI:2389173	Lrrtm1
MGI:MGI:96828	Lrp1
MGI:MGI:1321159	Ppp2ca
MGI:MGI:1918903	Shtn1
MGI:MGI:1338069	Itsn1
MGI:MGI:1890386	Fscn3
MGI:MGI:1890357	Igf2bp1
MGI:MGI:96721	L1cam
MGI:MGI:2139434	Mylk2
MGI:MGI:104908	Ptk2b
MGI:MGI:1338758	Adnp
MGI:MGI:1919210	Myh14
MGI:MGI:1098687	Aak1
MGI:MGI:1929469	Lpar3
MGI:MGI:1929461	Adgrl1
MGI:MGI:1932970	Ucn3
MGI:MGI:104860	Fxr1
MGI:MGI:1932915	Ndel1
MGI:MGI:1916127	Maf1
MGI:MGI:1926368	Syt5
MGI:MGI:101765	Cdk5
MGI:MGI:101764	Cdk5r1
MGI:MGI:101759	Syt4
MGI:MGI:101757	Cfl1
MGI:MGI:108476	Fzd3
MGI:MGI:108450	Adcy9
MGI:MGI:2441741	Rapgef3
MGI:MGI:1920082	Crtac1
MGI:MGI:1277959	Dlg4
MGI:MGI:1277955	Bsn
MGI:MGI:5439400	Iqschfp
MGI:MGI:1355553	Atoh7
MGI:MGI:1919583	Palld
MGI:MGI:1928268	Ireb2
MGI:MGI:2686926	Gdpd5
MGI:MGI:1096342	Rhoa
MGI:MGI:95789	Gnrh1
MGI:MGI:1921382	Rnf6
MGI:MGI:1921330	Nmnat3
MGI:MGI:1347520	Ror1
MGI:MGI:1196281	Dscam
MGI:MGI:1340046	Adam22
MGI:MGI:1928375	Arpc3
MGI:MGI:2685537	Vstm2l
MGI:MGI:2136772	Vps16
MGI:MGI:1921268	Als2
MGI:MGI:1097160	P2rx3
MGI:MGI:1097159	Neo1
MGI:MGI:2443718	Lrig2
MGI:MGI:2450877	Tspoap1
MGI:MGI:95821	Grin2b
MGI:MGI:95820	Grin2a
MGI:MGI:95815	Grik2
MGI:MGI:95814	Grik1
MGI:MGI:95811	Gria4
MGI:MGI:95810	Gria3
MGI:MGI:95809	Gria2
MGI:MGI:1859547	Syt11
MGI:MGI:1859545	Syt7
MGI:MGI:95669	Gc
MGI:MGI:95639	Gap43
MGI:MGI:95634	Gad2
MGI:MGI:95632	Gad1
MGI:MGI:95627	Slc6a1
MGI:MGI:95626	Gabrr2
MGI:MGI:95623	Gabrg2
MGI:MGI:95622	Gabrd
MGI:MGI:95621	Gabrb3
MGI:MGI:95614	Gabra2
MGI:MGI:2443480	Setx
MGI:MGI:103077	Stx3
MGI:MGI:103071	Rangap1
MGI:MGI:1261831	Hap1
MGI:MGI:103008	Epb41l3
MGI:MGI:1261814	Palm
MGI:MGI:95564	Fmr1
MGI:MGI:95556	Flna
MGI:MGI:95543	Fkbp4
MGI:MGI:95541	Fkbp1a
MGI:MGI:1859270	Exoc7
MGI:MGI:1931838	Dbn1
MGI:MGI:1330861	Dclk1
MGI:MGI:1918077	Trak2
MGI:MGI:1330828	Cdk5r2
MGI:MGI:2685455	Gm609
MGI:MGI:2685803	Cplx4
MGI:MGI:1921494	Atg7
MGI:MGI:1921472	Septin14
MGI:MGI:1859867	Syt8
MGI:MGI:1921437	Katnb1
MGI:MGI:1196389	Polg
MGI:MGI:103555	Clcn3
MGI:MGI:1347053	Git2
MGI:MGI:1347023	Txnrd2
MGI:MGI:1914953	Kirrel3
MGI:MGI:95461	Evx1
MGI:MGI:98248	Scn2a
MGI:MGI:98249	Scn3a
MGI:MGI:1889800	Myot
MGI:MGI:95394	Eno2
MGI:MGI:95321	Emb
MGI:MGI:1347353	Atp2b3
MGI:MGI:1347345	Homer1
MGI:MGI:2443642	Nrn1l
MGI:MGI:103201	Aqp1
MGI:MGI:95794	Lrp2
MGI:MGI:95791	Got1
MGI:MGI:95747	Glra1
MGI:MGI:1330299	Dyrk1a
MGI:MGI:894312	Crhr2
MGI:MGI:2685946	Brsk1
MGI:MGI:1196990	Cd200
MGI:MGI:1349763	Dpysl2
MGI:MGI:1349762	Dpysl3
MGI:MGI:99846	Gdi1
MGI:MGI:87961	Agrn
MGI:MGI:87941	Grk3
MGI:MGI:87940	Grk2
MGI:MGI:87938	Adrb2
MGI:MGI:87936	Adra2c
MGI:MGI:87934	Adra2a
MGI:MGI:87906	Actg1
MGI:MGI:87904	Actb
MGI:MGI:1891708	Npff
MGI:MGI:1923411	Lamp5
MGI:MGI:87876	Ache
MGI:MGI:87867	Acadm
MGI:MGI:1891190	Ctsz
MGI:MGI:97597	Prkcg
MGI:MGI:97596	Prkcb
MGI:MGI:97595	Prkca
MGI:MGI:97567	Pgr
MGI:MGI:2653612	Amigo1
MGI:MGI:97535	Pdyn
MGI:MGI:97530	Pdgfra
MGI:MGI:97511	Pcsk1
MGI:MGI:97509	Pcp4
MGI:MGI:3040680	BC048507
MGI:MGI:1352508	Stau2
MGI:MGI:97453	Oxt
MGI:MGI:97451	Otx2
MGI:MGI:97439	Oprk1
MGI:MGI:97438	Oprd1
MGI:MGI:97436	Omp
MGI:MGI:1342278	Unc13b
MGI:MGI:1342273	Gsto1
MGI:MGI:1100881	Prss12
MGI:MGI:97896	Reg2
MGI:MGI:97895	Reg1
MGI:MGI:97843	Rab3a
MGI:MGI:2141867	Inpp5f
MGI:MGI:97821	Pvalb
MGI:MGI:97807	Ptpn5
MGI:MGI:1349390	Pclo
MGI:MGI:3648653	Eno1b
MGI:MGI:97774	Prph
MGI:MGI:97769	Prnp
MGI:MGI:97724	Pnmt
MGI:MGI:1923038	Smurf1
MGI:MGI:2151153	Boc
MGI:MGI:1916387	Vstm5
MGI:MGI:1330281	Cd2ap
MGI:MGI:2386681	Mpp4
MGI:MGI:1917723	Rapgef4
MGI:MGI:2151075	Tnfrsf21
MGI:MGI:2151070	Ophn1
MGI:MGI:104518	Cntn2
MGI:MGI:101950	Calcr
