MGI:MGI:1352456	Nr4a2
MGI:MGI:97383	Ntrk1
MGI:MGI:97381	Ntf5
MGI:MGI:97321	Ngf
MGI:MGI:97306	Nf1
MGI:MGI:87859	Abl1
MGI:MGI:1913150	Trem2
MGI:MGI:1923321	Jakmip1
MGI:MGI:2148705	Foxp2
MGI:MGI:1329040	Dkk1
MGI:MGI:2138283	Chst10
MGI:MGI:1349447	Cln8
MGI:MGI:97613	Plcb1
MGI:MGI:105098	Ube3a
MGI:MGI:105083	Slc1a1
MGI:MGI:108080	Serpinf1
MGI:MGI:2147036	Ttbk1
MGI:MGI:1341110	Adcy8
MGI:MGI:1341085	Epm2a
MGI:MGI:97380	Ntf3
MGI:MGI:97384	Ntrk2
MGI:MGI:97386	Ntsr1
MGI:MGI:1915776	Gpr155
MGI:MGI:1351341	Grm4
MGI:MGI:1351342	Grm5
MGI:MGI:1351344	Grm7
MGI:MGI:96285	Slc6a4
MGI:MGI:2157166	Rp9
MGI:MGI:107286	Man2b1
MGI:MGI:99779	Chrna7
MGI:MGI:2443430	Dgki
MGI:MGI:3588192	Rtl4
MGI:MGI:1932118	Prrt1
MGI:MGI:99677	Adcy1
MGI:MGI:99675	Adcy3
MGI:MGI:2143691	Tafa2
MGI:MGI:2180216	Neto1
MGI:MGI:99611	Ephb2
MGI:MGI:3039785	Syngap1
MGI:MGI:107537	Cln3
MGI:MGI:107504	Gip
MGI:MGI:1915119	Paip2
MGI:MGI:107427	Elavl4
MGI:MGI:107404	Tbr1
MGI:MGI:99918	Mecp2
MGI:MGI:2685233	Ptchd1
MGI:MGI:1098266	Chl1
MGI:MGI:2385852	Tifab
MGI:MGI:2679420	Pak6
MGI:MGI:97602	Prkcz
MGI:MGI:107755	Neurod2
MGI:MGI:107754	Neurog1
MGI:MGI:107742	Stra6
MGI:MGI:107739	Casp3
MGI:MGI:2385695	Rin1
MGI:MGI:3613677	Shank1
MGI:MGI:109178	Fgf13
MGI:MGI:2685570	Shroom4
MGI:MGI:1928478	Brinp1
MGI:MGI:1928394	Mtor
MGI:MGI:1344400	C1ql1
MGI:MGI:1202294	Aff2
MGI:MGI:99578	Drd1
MGI:MGI:99571	Glp1r
MGI:MGI:99555	Pde4d
MGI:MGI:99516	Tnr
MGI:MGI:1918972	Cic
MGI:MGI:99466	Sct
MGI:MGI:99458	Mef2c
MGI:MGI:99433	Arf4
MGI:MGI:96170	Hoxa1
MGI:MGI:96159	Hmgcr
MGI:MGI:2385902	Picalm
MGI:MGI:107996	Slc8a2
MGI:MGI:107976	Slc8a3
MGI:MGI:1915585	Ift20
MGI:MGI:96083	Nrg1
MGI:MGI:96067	Htt
MGI:MGI:107321	Cux2
MGI:MGI:2671987	Shank2
MGI:MGI:107619	Hrh1
MGI:MGI:1915229	Atad1
MGI:MGI:1194915	Asic1
MGI:MGI:99401	Adora1
