MGI:MGI:106217	Cacna1e
MGI:MGI:98759	Tjp1
MGI:MGI:98743	Thrb
MGI:MGI:98735	Th
MGI:MGI:2681298	Tas2r140
MGI:MGI:2681280	Tas2r131
MGI:MGI:2681278	Tas2r130
MGI:MGI:2681276	Tas2r129
MGI:MGI:2681264	Tas2r123
MGI:MGI:2681262	Tas2r122
MGI:MGI:2681259	Tas2r121
MGI:MGI:2681256	Tas2r120
MGI:MGI:2681253	Tas2r119
MGI:MGI:2681247	Tas2r118
MGI:MGI:2681242	Tas2r117
MGI:MGI:2681223	Tas2r115
MGI:MGI:2681218	Tas2r114
MGI:MGI:2681217	Tas2r113
MGI:MGI:2681216	Tas2r110
MGI:MGI:2681214	Tas2r109
MGI:MGI:2681210	Tas2r108
MGI:MGI:88467	Col1a1
MGI:MGI:2681203	Tas2r106
MGI:MGI:88452	Col2a1
MGI:MGI:106185	Ccr2
MGI:MGI:106182	Olfr15
MGI:MGI:88447	Col11a2
MGI:MGI:88446	Col11a1
MGI:MGI:1933547	Tas1r3
MGI:MGI:4834294	Mir467a-9
MGI:MGI:98259	Ccl2
MGI:MGI:98246	Scn1a
MGI:MGI:1274784	Adgrv1
MGI:MGI:3031198	Or2w2
MGI:MGI:3031196	Or2w4
MGI:MGI:3031195	Or2w6
MGI:MGI:3031194	Or2b2b
MGI:MGI:3031193	Or2b2
MGI:MGI:3031192	Or10b1
MGI:MGI:3031191	Or1i2
MGI:MGI:3031190	Or7c70
MGI:MGI:3031189	Or7a39
MGI:MGI:3031188	Or7a38
MGI:MGI:3031187	Or7a37
MGI:MGI:3031186	Or7a36
MGI:MGI:3031185	Or7a35
MGI:MGI:3031184	Or5bw2
MGI:MGI:3031183	Or10am5
MGI:MGI:3031182	Or6z1
MGI:MGI:3031181	Or6z6
MGI:MGI:3031180	Or6z5
MGI:MGI:3031178	Or2bd2
MGI:MGI:3031176	Or13p4
MGI:MGI:3031175	Or13p3
MGI:MGI:3031174	Or13p8
MGI:MGI:3031173	Or13p5
MGI:MGI:3031172	Or10ak14
MGI:MGI:3031171	Or10ak13
MGI:MGI:3031170	Or6z3
MGI:MGI:3031167	Or10ak11
MGI:MGI:3031165	Or10ak9
MGI:MGI:3031164	Or10ak16
MGI:MGI:3031163	Or10ak8
MGI:MGI:3031162	Or10ak7
MGI:MGI:3031160	Or7r1
MGI:MGI:3031159	Or13ae2
MGI:MGI:3031158	Or1aa2
MGI:MGI:3031157	Or5bh3
MGI:MGI:3031156	Or11n2
MGI:MGI:3031155	Or5o1
MGI:MGI:3031154	Or11q2
MGI:MGI:3031152	Or4f62
MGI:MGI:3031151	Or4f47
MGI:MGI:3031150	Or4f14d
MGI:MGI:3031149	Or4f14c
MGI:MGI:3031148	Or4f61
MGI:MGI:3031147	Or4f60
MGI:MGI:3031146	Or4f59
MGI:MGI:3031145	Or4f58
MGI:MGI:3031144	Or4f6
MGI:MGI:3031143	Or4f15
MGI:MGI:3031142	Or4f57
MGI:MGI:3031141	Or4f14b
MGI:MGI:3031140	Or4f14
MGI:MGI:3031137	Or4f7
MGI:MGI:3031136	Or4k52
MGI:MGI:3031135	Or4k51
MGI:MGI:3031133	Or4k49
MGI:MGI:3031132	Or4k48
MGI:MGI:3031131	Or4k47
MGI:MGI:3031129	Or4k45
MGI:MGI:3031128	Or4k44
MGI:MGI:3031127	Or4f17-ps1
MGI:MGI:3031125	Or4f4-ps1
MGI:MGI:2664670	Pkd1l3
MGI:MGI:3031123	Or4f4b
MGI:MGI:3031122	Or4g7
MGI:MGI:3031121	Or4k41
MGI:MGI:3031120	Or4k40
MGI:MGI:3031119	Or4k39
MGI:MGI:3031118	Or4g17
MGI:MGI:3031117	Or4k77
MGI:MGI:3031116	Or4k38
MGI:MGI:3031115	Or4k37
MGI:MGI:3031114	Or4k36
MGI:MGI:3031113	Or4g16
MGI:MGI:3031112	Or4f54
MGI:MGI:3031111	Or4k35
MGI:MGI:3031110	Or4f53
MGI:MGI:3031109	Or4f52
MGI:MGI:3031108	Or4x13
MGI:MGI:3031106	Or4b1b
MGI:MGI:3031105	Or4b12
MGI:MGI:3031104	Or4b1
MGI:MGI:3031103	Or4x6
MGI:MGI:103123	Serpinb6a
MGI:MGI:3031318	Or5b122
MGI:MGI:103149	Uchl1
MGI:MGI:1917691	Mir124-2hg
MGI:MGI:103163	Azgp1
MGI:MGI:103169	Scn8a
MGI:MGI:3031266	Or5bb10
MGI:MGI:3031268	Olfr1434
MGI:MGI:2159339	Asic3
MGI:MGI:2159324	Cln6
MGI:MGI:2442819	Tshz3
MGI:MGI:109148	Or10a4
MGI:MGI:94924	Drd2
MGI:MGI:2676859	Mir195a
MGI:MGI:2676878	Mir203
MGI:MGI:2676898	Mir23b
MGI:MGI:1336189	Rs1
MGI:MGI:94862	Slc6a3
MGI:MGI:2676913	Mir99b
MGI:MGI:1889850	Gsdme
MGI:MGI:1346332	Best1
MGI:MGI:2684056	Vmn2r81
MGI:MGI:2442676	Cdc14a
MGI:MGI:2442632	Cacna2d4
MGI:MGI:3031007	Or5d43
MGI:MGI:3031004	Or5d41
MGI:MGI:3031002	Or5d40
MGI:MGI:3031001	Or5d39
MGI:MGI:3031000	Or5d38
MGI:MGI:1917585	Reep6
MGI:MGI:3041258	Tmem150c
MGI:MGI:98090	Pdc
MGI:MGI:98001	Rpe65
MGI:MGI:95620	Gabrb2
MGI:MGI:3619321	Mir298
MGI:MGI:103301	Cacnb4
MGI:MGI:103307	Cacnb3
MGI:MGI:1096879	Fxn
MGI:MGI:1920910	Cabp4
MGI:MGI:109424	Abca4
MGI:MGI:102698	Olfr1
MGI:MGI:102697	Olfr3
MGI:MGI:102696	Pip
MGI:MGI:102675	Crym
MGI:MGI:102663	Kcnd2
MGI:MGI:109347	Lum
MGI:MGI:109317	Olfr18
MGI:MGI:109316	Olfr19
MGI:MGI:109315	Or1e1
MGI:MGI:109312	Or1e17
MGI:MGI:109311	Olfr24
MGI:MGI:109310	Or8c9
MGI:MGI:109309	Or8d1
MGI:MGI:109308	Or8g19
MGI:MGI:109305	Or2z2
MGI:MGI:109304	Or2t1
MGI:MGI:109303	Or4b1d
MGI:MGI:109302	Or51a39
MGI:MGI:1096393	Snai2
MGI:MGI:3618755	Mir24-2
MGI:MGI:3618750	Mir200c
MGI:MGI:3618748	Mir20b
MGI:MGI:3618742	Mir199a-2
MGI:MGI:3618737	Mir181c
MGI:MGI:3618734	Mir148b
MGI:MGI:3618716	Mir130b
MGI:MGI:3618706	Mir125b-2
MGI:MGI:107174	Olfr8
MGI:MGI:3629950	Mir532
MGI:MGI:3629957	Mir676
MGI:MGI:3618690	Mir16-2
MGI:MGI:105976	Myo5a
MGI:MGI:105956	Pde6c
MGI:MGI:105923	Ednra
MGI:MGI:1913520	Retreg1
MGI:MGI:1353562	Cngb3
MGI:MGI:3608325	Pdzd7
MGI:MGI:5568573	Rubie
MGI:MGI:3649068	Vmn2r6
MGI:MGI:3649074	Vmn2r5
MGI:MGI:95819	Grin1
MGI:MGI:1927505	Tas1r1
MGI:MGI:2387588	Best2
MGI:MGI:109575	Tecta
MGI:MGI:109574	Tectb
MGI:MGI:109571	Tulp1
MGI:MGI:2664102	Cngb1
MGI:MGI:109563	Cxcr4
MGI:MGI:109521	Htr2a
MGI:MGI:2667783	Serpinb6d
MGI:MGI:2667778	Serpinb6e
MGI:MGI:2449167	Crygn
MGI:MGI:3645404	Vmn2r128
MGI:MGI:3629589	Mir181a-1
MGI:MGI:95718	Gjc1
MGI:MGI:1346018	Vax2
MGI:MGI:2151016	Tmc1
MGI:MGI:1913976	Nipbl
MGI:MGI:2155445	Tmprss3
MGI:MGI:1861718	Trpm5
MGI:MGI:1096349	Ptprq
MGI:MGI:1096337	Ephb1
MGI:MGI:1333747	Or1ad8
MGI:MGI:1096327	Axin1
MGI:MGI:3642776	Vmn2r65
MGI:MGI:103080	Pigr
MGI:MGI:2183153	Pkhd1l1
MGI:MGI:1351340	Grm3
MGI:MGI:102581	Rdh11
MGI:MGI:102524	Pou4f2
MGI:MGI:102523	Pou4f3
MGI:MGI:109247	Ddit3
MGI:MGI:3044955	Impg2
MGI:MGI:1346542	Bace1
MGI:MGI:1346859	Mapk3
MGI:MGI:1346858	Mapk1
MGI:MGI:2664099	Cnga4
MGI:MGI:102791	Prph2
MGI:MGI:102780	Six1
MGI:MGI:102770	Guca1a
MGI:MGI:109482	Cacna1a
MGI:MGI:102720	Ednrb
MGI:MGI:102717	Crybb3
MGI:MGI:102716	Cryba4
MGI:MGI:3629649	Mir455
MGI:MGI:3629651	Mir491
MGI:MGI:3619402	Mir429
MGI:MGI:2442253	Cln5
MGI:MGI:1861630	Espn
MGI:MGI:3645243	Rgs21
MGI:MGI:3718458	Mir193b
MGI:MGI:2442197	Mir124a-1hg
MGI:MGI:2660716	Olfr149
MGI:MGI:2660713	Olfr148
MGI:MGI:2660712	Olfr147
MGI:MGI:2660711	Olfr146
MGI:MGI:1913790	Fam107b
MGI:MGI:1339969	Gja10
MGI:MGI:1339957	P2rx7
MGI:MGI:3629883	Mir711
MGI:MGI:3629886	Mir497
MGI:MGI:1277215	Bbs1
MGI:MGI:2138828	Eps8l2
MGI:MGI:1923615	Tbx18
MGI:MGI:1861100	Ubr3
UniProtKB:A0A140LJF5	Olfr485
MGI:MGI:1891836	Mkks
MGI:MGI:106648	Olfr16
MGI:MGI:2139535	Tprn
MGI:MGI:1934606	Alms1
MGI:MGI:1313142	Or7d9
MGI:MGI:1313140	Or2f1b
MGI:MGI:1313139	Or5i1
MGI:MGI:1313138	Or5w22
MGI:MGI:2384418	Rgs9bp
MGI:MGI:3619118	Mir222
MGI:MGI:2446841	Rtp3
MGI:MGI:3619440	Mir96
MGI:MGI:2681835	Nlgn2
MGI:MGI:3619431	Mir542
MGI:MGI:3619424	Mir487b
MGI:MGI:2661338	Or8a1
MGI:MGI:3619412	Mir451a
MGI:MGI:3619405	Mir434
MGI:MGI:1333887	Or13p10
MGI:MGI:1333885	Or13a28
MGI:MGI:1333881	Or13a27
MGI:MGI:1276123	Ucn
MGI:MGI:3030650	Or6c69
MGI:MGI:3030654	Or6c33
MGI:MGI:1328357	Unc119
MGI:MGI:1328355	Wfs1
MGI:MGI:3030660	Or9k2b
MGI:MGI:3030661	Or9k7
MGI:MGI:3030663	Or7g17
MGI:MGI:3030670	Or7g21
MGI:MGI:3030671	Or7g22
MGI:MGI:104785	Myo6
MGI:MGI:3030680	Or7g28
MGI:MGI:1354710	Atp8a2
MGI:MGI:104715	Olfr11
MGI:MGI:104713	Olfr6
MGI:MGI:1202064	Otog
MGI:MGI:1890816	Vsx1
MGI:MGI:1929282	Ptges3
MGI:MGI:1929258	Kcnip3
MGI:MGI:1860080	Or13j1
MGI:MGI:1860079	Or13e8
MGI:MGI:104696	Scnn1b
MGI:MGI:104695	Scnn1g
MGI:MGI:1335096	Olfr63
MGI:MGI:4834296	Mir467a-10
MGI:MGI:1333755	Or1p1
MGI:MGI:3030263	Or6n1
MGI:MGI:3030283	Or6b1
MGI:MGI:3644559	Vmn2r83
MGI:MGI:1345146	Grk1
