MGI:MGI:3030343	Or10ab5
MGI:MGI:2443963	Cadps2
MGI:MGI:1201686	Ctbp2
MGI:MGI:1201678	Cacna1g
MGI:MGI:1928898	Usp14
MGI:MGI:2685233	Ptchd1
MGI:MGI:1860139	Gabbr1
MGI:MGI:2679448	Slitrk5
MGI:MGI:2679447	Slitrk3
MGI:MGI:1915409	Stx19
MGI:MGI:1098235	P2rx1
MGI:MGI:109189	Fgf14
MGI:MGI:2685725	Shisa6
MGI:MGI:1918272	Ston2
MGI:MGI:2665170	P2rx2
MGI:MGI:3030936	Olfr1102
MGI:MGI:3712069	Ly6c2
MGI:MGI:99578	Drd1
MGI:MGI:99569	S1pr2
MGI:MGI:99516	Tnr
MGI:MGI:1202306	Hcrt
MGI:MGI:1344351	Dlg2
MGI:MGI:1344347	Synj2bp
MGI:MGI:1918959	Syde1
MGI:MGI:99458	Mef2c
MGI:MGI:99422	Rapsn
MGI:MGI:97592	Prkaca
MGI:MGI:107940	Ezh2
MGI:MGI:96083	Nrg1
MGI:MGI:96067	Htt
MGI:MGI:107370	Stxbp2
MGI:MGI:107363	Stxbp1
MGI:MGI:107362	Stxbp3
MGI:MGI:2443331	Rims3
MGI:MGI:99842	Htr1f
MGI:MGI:107619	Hrh1
MGI:MGI:2180784	Rac3
MGI:MGI:1194915	Asic1
MGI:MGI:99402	Adora2a
MGI:MGI:99401	Adora1
MGI:MGI:1202403	Chrna9
MGI:MGI:3487246	Prr7
MGI:MGI:105308	Pnoc
MGI:MGI:2159601	Syt12
