mt-nd1	mt-cytb	mt-nd4	npy	rtn1	snhg11	stmn3	stmn2	reln	atp1b1	
mt-nd1	mt-nd5	mt-nd2	sox11	mt-co1	cbx5	app	mex3a	prc1	khdrbs1	
mt-nd1	mt-cytb	snhg11	mt-nd4	rtn1	stmn3	atp1b1	stmn2	ly6h	pcsk1n	
tuba1a	nnat	tubb5	tubb2b	tubb3	sox4	tmsb4x	sox11	h3f3b	marcksl1	
hsp90ab1	hnrnpa2b1	ncl	nasp	mt-nd5	marcks	serbp1	smc4	rbm25	mt-nd2	
mt-nd1	cxcl14	vip	snhg11	rtn1	sepw1	cck	mt-nd4	mt-cytb	ly6h	
hnrnpa2b1	hsp90ab1	ncl	serbp1	ccnd2	marcks	smc4	dek	nasp	pabpc1	
mt-nd1	mt-cytb	snhg11	sepw1	mt-nd4	npy	cxcl14	tmsb4x	rtn1	atp1b1	
mt-nd1	nnat	tuba1a	rtn1	tubb2b	tubb3	mt-nd4	mt-cytb	stmn2	tmsb10	
tubb5	ccnd2	sox4	sox11	hsp90ab1	h2afv	dlx2	hnrnpa2b1	tubb3	ckb	
hsp90ab1	ccnd2	hnrnpa2b1	ncl	serbp1	marcks	hnrnpab	nasp	meis2	dek	
nnat	meis2	sox4	tubb5	mpped2	bcl11b	sox2	lmo4	sp9	hnrnpa2b1	
cck	nnat	nap1l5	fxyd6	senp6	ngfrap1	vip	pcsk1n	inpp5f	vamp2	
hsp90ab1	hnrnpa2b1	ncl	serbp1	nasp	marcks	ccnd2	dek	anp32a	smc4	
cxcl14	sepw1	mt-nd1	tmsb4x	tmsb10	rtn1	tcf4	snhg11	mllt11	cck	
mt-nd1	mt-cytb	snhg11	mt-nd4	sepw1	rtn1	arpp21	cxcl14	pcp4	ly6h	
nnat	hnrnpa2b1	hnrnpm	sox11	hsp90ab1	marcks	nasp	luc7l3	hnrnpab	anp32a	
nnat	tuba1a	hnrnpa2b1	hsp90ab1	serbp1	marcks	ncl	anp32a	hnrnpab	nasp	
ccnd2	hnrnpa2b1	hsp90ab1	smc4	h2afv	nasp	dek	ncl	serbp1	marcks	
serbp1	ppil4	hsp90ab1	hnrnpa2b1	nasp	hsp90b1	pdap1	eif3a	abcf1	smc1a	
mt-nd1	rtn1	mt-cytb	mt-nd4	tmsb4x	snhg11	stmn3	cxcl14	ly6h	sepw1	
fabp7	dbi	ptn	mt-nd1	vim	apoe	ncl	serbp1	ptprz1	mt3	
tuba1a	nnat	tubb5	tubb2b	tubb3	sox4	tmsb4x	tmsb10	h3f3b	map1b	
mt-nd1	tmsb4x	sepw1	snhg11	npy	sst	actb	fth1	mt-nd4	rtn1	
cwc22	fabp7	psma7	dbi	atp5o	rbm39	rpl32	hnrnpc	ncl	hnrnpa2b1	
prc1	smc4	ccar1	marcks	spc25	calm1	hnrnpab	tax1bp1	arl6ip1	hnrnph1	
tuba1a	nnat	tmsb4x	tmsb10	tubb2b	rtn1	mt-nd1	tubb3	sepw1	sox11	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	cxcl14	atp2b1	ly6h	sepw1	arpp21	
hsp90ab1	ncl	hnrnpa2b1	serbp1	marcks	dek	nasp	rbm25	pabpc1	anp32a	
ccnd2	ncl	nasp	dek	smc4	marcks	hnrnpa2b1	hsp90ab1	dbi	h2afv	
mt-nd1	mt-cytb	mt-nd4	snhg11	arpp21	atp2b1	pcp4	rtn1	actb	ly6h	
sox4	tmsb4x	sox11	tubb5	ccnd2	tuba1a	nnat	tubb3	cpa3	actb	
fabp7	dbi	hsp90ab1	ccnd2	ncl	dek	serbp1	ptn	hnrnpa2b1	nasp	
ccnd2	nasp	hsp90ab1	ncl	hnrnpa2b1	dek	mt-nd5	marcks	serbp1	smc4	
mt-nd1	actb	mt-cytb	snhg11	smc4	mt-nd4	mt-nd5	hnrnpa2b1	ccnd2	ncl	
hsp90ab1	serbp1	tuba1a	dbi	rps5	ncl	fabp7	tubb5	hnrnpa2b1	gnb2l1	
hnrnpa2b1	hsp90ab1	marcks	sox11	smc4	ncl	cd101	dek	hnrnpab	atrx	
hsp90ab1	hnrnpa2b1	ncl	serbp1	nasp	ccnd2	marcks	dek	anp32a	hnrnpab	
nnat	tuba1a	sox11	tubb5	sox4	tubb3	tubb2b	tmsb4x	h3f3b	map1b	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	arpp21	atp2b1	actb	pcp4	ly6h	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	cxcl14	sepw1	ly6h	pcsk1n	stmn3	
mt-nd1	mt-cytb	nnat	tuba1a	mt-nd4	rtn1	snhg11	sox11	tubb3	bcl11b	
hnrnpa2b1	hsp90ab1	ncl	ccnd2	nasp	dek	serbp1	smc4	marcks	anp32a	
tuba1a	nnat	tubb2b	tubb5	tubb3	sox4	tmsb4x	sox11	tmsb10	h3f3b	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	npy	stmn3	ly6h	sepw1	ndufa4	
mt-nd1	mt-cytb	mt-nd4	rtn1	snhg11	stmn3	cxcl14	ly6h	atp1b1	stmn2	
