mt-cytb	mt-nd5	mt-nd2	ptms	fnbp1l	meis2	marcks	tmem150b	rnd3	acin1	
mt-nd1	mt-cytb	rtn1	mt-nd4	syt4	gap43	tac1	foxp1	stmn2	ebf1	
mt-nd1	mt-cytb	mt-nd4	npy	rtn1	arpp21	actb	snhg11	pcp4	ly6h	
mt-nd1	mt-cytb	herc1	mt-nd4	snhg11	rtn1	cxcl14	atp2b1	ly6h	atp1b1	
tubb5	tuba1a	blmh	nnat	sox4	sox11	tubb3	tubb2b	hsp90ab1	h3f3b	
mt-nd1	sft2d3	tmsb4x	mbp	plp1	rtn1	cst3	pfn2	mt-nd4	h3f3b	
spink10	cxcl14	fabp7	hsp90ab1	serbp1	marcks	mt-nd5	hnrnpa2b1	ncl	snhg11	
ccnd2	hsp90ab1	nasp	hnrnpa2b1	serbp1	ncl	ezh2	dek	aim2	marcks	
fabp7	nop58	eif2s2	id4	tax1bp1	hbb-y	pfn1	kif1b	rps24	rdx	
asxl2	mt-nd1	hsp90ab1	ccnd2	hnrnpa2b1	top2a	ncl	nasp	marcks	serbp1	
mt-nd1	sst	cck	mt-cytb	actb	ikbke	stmn2	hbb-bs	cxcl14	atp1b1	
mt-nd1	mt-cytb	mt-nd4	snhg11	arpp21	sepw1	rtn1	pcp4	cxcl14	atp2b1	
mt-nd1	mt-nd4	tmsb4x	mt-cytb	snhg11	grm5	stmn3	epha5	atp1b1	tspan3	
zbtb33	hnrnpa2b1	ncl	top2a	hsp90ab1	sox11	mt-nd5	marcks	ezh2	hnrnpd	
mt-nd1	rtn1	cxcl14	stmn2	styx	tubb2b	mt-nd4	tmsb10	stmn3	sepw1	
tubb5	tuba1a	nnat	sox4	tubb3	sox11	zfp410	tubb2b	h3f3b	ccnd2	
tuba1a	nnat	tmsb4x	tubb2b	tmsb10	tubb3	tubb5	rtn1	marcksl1	sepw1	
cxcl14	pfn2	mt-nd1	stmn4	hn1	ccnd2	pcsk1n	ndufa4	stmn2	cnr1	
arl6ip1	incenp	top2a	smc2	nasp	prc1	ncl	fmr1	ccnd2	ndn	
palm3	tcf4	hsp90ab1	ptms	ncl	tmsb10	ybx1	hnrnpa2b1	cxcl14	mef2c	
mt-nd1	rtn1	mt-cytb	mt-nd4	tmed3	stmn3	cxcl14	snhg11	ly6h	stmn2	
mt-nd1	rtn1	mt-cytb	snhg11	cxcl14	cst3	reln	ly6h	sepw1	mt-nd4	
actb	mt-nd1	zfp780b	ncam1	snhg11	rtn1	mt-cytb	npy	mt-nd4	sepw1	
mt-nd1	sst	rtn1	arpp21	tmsb4x	sepw1	snhg11	mt-nd4	tmsb10	calm1	
srsf3	h3f3b	hnrnpa2b1	vps29	sub1	smdt1	cd24a	apoa1bp	pnisr	brd3	
ccnd2	gprc5b	sox4	top2a	h2afv	dbi	hnrnpa2b1	nasp	hsp90ab1	tubb5	
sox11	serbp1	rbm25	ccdc127	rrm2	rps9	smc1a	npm1	ckb	tmpo	
tubb5	tuba1a	nnat	eif2b2	sox4	tubb3	sox11	tubb2b	rps5	ccnd2	
dbi	mt1	mt-nd1	chchd10	mt3	mt-nd4	sst	actb	npy	mt-cytb	
fabp7	dbi	hsp90ab1	ncl	serbp1	rfx4	marcks	top2a	vim	hnrnpa2b1	
rfesd	tmsb4x	sepw1	tmsb10	snhg11	nnat	mllt11	actb	pcp4	arpp21	
dbi	hsp90ab1	ccdc81	meis2	jun	anp32a	ncl	mt-nd2	calm1	rps26	
mt-nd1	rtn1	mt-cytb	cadm1	tuba1a	mt-nd4	stmn2	tubb2b	tmsb10	stmn3	
mbp	plp1	tmsb4x	actb	fth1	cldn11	arpc1b	cnp	mt-nd1	bsg	
meis2	sox4	eya2	h3f3b	plp1	mbp	rtn1	rps14	tshz1	tmsb4x	
ap3b1	hsp90ab1	hnrnpa2b1	ncl	serbp1	marcks	fabp7	ezh2	rbm25	top2a	
tuba1a	nnat	tubb5	tmsb4x	tubb2b	ngrn	tubb3	sox4	h3f3b	tmsb10	
tmsb4x	fth1	actb	bsg	rgs5	sparc	igfbp7	calm1	cst3	cald1	
mt-nd1	mt-cytb	mt-nd4	snhg11	cxcl14	rtn1	ly6h	stmn3	sepw1	pcsk1n	
tuba1a	nnat	tubb5	sox4	tubb3	tubb2b	zfp943	sox11	h3f3b	tmsb4x	
fth1	hbb-bs	fabp7	ncl	cst3	bsg	dbi	serbp1	rnf213	top2a	
mt-nd1	mt-cytb	mt-nd4	rtn1	ttc13	snhg11	stmn3	cxcl14	pcsk1n	ly6h	
mt-nd1	rtn1	mt-cytb	mt-nd4	snhg11	tmsb4x	sepw1	cxcl14	stmn2	tmsb10	
mt-nd1	mt-cytb	mt-nd4	rtn1	snhg11	cxcl14	stmn3	ly6h	stmn2	pcsk1n	
hsp90ab1	ccnd2	hnrnpa2b1	ncl	dek	serbp1	marcks	ezh2	nasp	pabpc1	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	cxcl14	clcn7	atp1b1	atp2b1	ly6h	
mt-nd1	mt-cytb	papd7	mt-nd4	snhg11	cxcl14	top2a	arl6ip1	atp2b1	smc4	
