hsp90ab1	ncl	hnrnpa2b1	serbp1	rpl38	nasp	marcks	pabpc1	anp32a	ccnd2	
hnrnpa2b1	hsp90ab1	pcdhgb6	serbp1	anp32a	nasp	marcks	ccnd2	mt-nd5	akap9	
fgd1	nnat	tuba1a	tmsb4x	tmsb10	ptms	marcksl1	map1b	mllt11	h3f3b	
nr2f1	tuba1a	sox11	tmsb4x	tubb2b	tubb5	nnat	sox4	tubb3	tcf4	
hsp90ab1	hnrnpa2b1	ncl	pabpc1	isoc2a	serbp1	marcks	fabp7	ccnd2	anp32a	
hsp90ab1	fabp7	ncl	serbp1	dbi	nasp	dek	mthfd1	fkbp3	pabpc1	
mt-nd1	cxcl14	rtn1	tmsb4x	mt-nd4	snhg11	stmn3	stmn2	slc35e3	tmsb10	
ybx1	pabpc1	dek	rplp1	smc4	pttg1	ccnd2	rpl32	sox11	fabp7	
tubb5	tuba1a	sox4	nnat	sox11	kansl1	tubb3	tubb2b	tmsb4x	h3f3b	
nnat	tuba1a	tubb5	sox11	zfp763	sox4	tubb3	tubb2b	hnrnpa2b1	map1b	
tuba1a	rbm25	mt-nd2	ebf1	mt-co1	anp32a	fabp7	gnas	tmsb10	pcm1	
nnat	tuba1a	npepps	tubb5	sox11	sox4	tubb3	tubb2b	map1b	h3f3b	
hsp90ab1	hnrnpa2b1	ncl	rprd1a	serbp1	marcks	nasp	fabp7	anp32a	pabpc1	
ccnd2	arl6ip1	smc4	h2afv	hnrnpa2b1	cenpf	ube2c	prc1	nusap1	marcks	
mt-nd1	mt-cytb	mt-nd4	snhg11	arpp21	atp2b1	actb	rtn1	pcp4	sepw1	
ubr5	hnrnpa2b1	hsp90ab1	ncl	rbm25	serbp1	marcks	nasp	mt-nd5	acin1	
mt-nd1	dbi	tmsb4x	ptn	fabp7	mt1	mt-nd4	mt-cytb	s100a16	fth1	
tmsb4x	apoe	mt-nd1	actb	ctsb	hsp90b1	fth1	pabpc1	ctss	ctsz	
pcm1	hsp90ab1	hnrnpa2b1	ncl	serbp1	marcks	nasp	dek	ccnd2	smc4	
mt-nd1	mt-cytb	mt-nd4	snhg11	arpp21	sepw1	pcp4	atp2b1	rtn1	ly6h	
tuba1a	nnat	tubb2b	stau2	tmsb10	tubb5	tubb3	rtn1	tmsb4x	sepw1	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	arpp21	ly6h	sepw1	dbi	pcsk1n	
mt-nd1	mt-cytb	mt-nd4	cxcl14	snhg11	pcsk1n	rtn1	ly6h	ptn	cspg5	
dbi	sox11	calm1	mt1	kdm5b	slc44a3	sparc	basp1	phf14	mt3	
fabp7	hsp90ab1	hnrnpa2b1	serbp1	ncl	nek8	ccnd2	marcks	nasp	dek	
hnrnpa2b1	pik3r3	hsp90ab1	marcks	ncl	hnrnpab	serbp1	acin1	sox11	fnbp1l	
