strbp	hsp90ab1	hnrnpa2b1	ncl	serbp1	marcks	top2a	ezh2	nasp	anp32a	
ccnd2	top2a	arl6ip1	h2afv	smc4	hnrnpa2b1	cenpf	ube2c	hsp90ab1	marcks	
fabp7	dbi	ptn	cst3	hsp90ab1	mfge8	vim	ncl	serbp1	pabpc1	
mt-nd1	tmsb4x	sepw1	npy	snhg11	rtn1	tmsb10	sst	mt-nd4	cxcl14	
cxcl14	npy	cck	sepw1	cnr1	nasp	snhg11	fer1l6	sncb	marcks	
mt-nd1	actb	tac1	arpp21	pcp4	mt-cytb	selm	mt-nd4	ywhab	myef2	
gm15446	mt-nd1	cxcl14	snhg11	npy	plp1	serbp1	luc7l3	pcsk1n	ptma	
n4bp2l2	actb	ccnd2	hnrnpa2b1	meis2	hsp90ab1	ncl	marcks	dlx1	top2a	
mt-nd1	sepw1	tmsb4x	snhg11	npy	cxcl14	mt-nd4	mllt11	srxn1	ly6h	
mt-nd1	mt-cytb	snhg11	prkg1	rgs5	ptn	fabp7	smc4	top2a	hsp90b1	
tuba1a	sdhaf2	tubb5	nnat	tubb2b	tubb3	sox4	tmsb4x	marcksl1	rtn1	
dnajc8	hsp90ab1	ccnd2	hnrnpa2b1	ncl	serbp1	top2a	nasp	dek	ezh2	
ccnd2	med18	tubb5	hsp90ab1	dek	nasp	hnrnpa2b1	hnrnpab	h2afv	serbp1	
mt-nd1	mt-cytb	mt-nd4	tmem109	snhg11	rtn1	atp2b1	ly6h	arpp21	foxp1	
hnrnpa2b1	hsp90ab1	golm1	ccnd2	ncl	serbp1	nasp	ezh2	top2a	marcks	
tmsb4x	apoe	cst3	serbp1	nasp	hsp90ab1	ncl	c1qb	c1qa	rplp1	
tmsb4x	mt-nd1	cyb5rl	actb	pcp4	mt-cytb	rps5	snhg11	sepw1	fabp7	
gbf1	hsp90ab1	hnrnpa2b1	marcks	top2a	ezh2	sox11	rbm25	serbp1	mt-nd5	
mt-nd1	npy	cxcl14	mt-cytb	snhg11	mt-nd4	ly6h	vip	cck	pcsk1n	
serpinb6a	tmsb4x	mt-nd1	fabp7	npy	sepw1	actb	ptn	gap43	cst3	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	gria2	ly6h	atp2b1	arpp21	pcsk1n	
cst3	mt-nd1	apoe	dbi	ptn	mt1	mt-cytb	fabp7	slc1a2	gfap	
zfp408	sox11	hsp90ab1	hnrnpa2b1	nnat	ncl	hnrnpab	serbp1	marcks	anp32a	
marcks	hnrnpd	mt-nd5	meis2	prpf40a	top1	dlx1	pnisr	smarcc2	cwc22	
mt-nd1	actb	snhg11	mt-cytb	mt-nd4	arpp21	pcp4	rtn1	sepw1	atp2b1	
tuba1a	nnat	tmsb4x	tubb2b	rab2a	tmsb10	rtn1	tubb3	tubb5	stmn2	
mt-nd1	mt-cytb	mt-nd4	mtcl1	snhg11	tmsb4x	rtn1	mef2c	sepw1	ncam1	
nnat	zfp759	tuba1a	rtn1	tmsb4x	tubb2b	sox11	tubb3	marcksl1	map1b	
